Billing Country,Billing State,Browser,Created By,Device Brand,Device Type,Email Permission,Email Status,Email Status Reason,Event Type,Order Source,Order Status,Os,Os Version,Payment Method,Segment,Updated By,Discounted Price,Item Count,Quantity,Shipping,Total Amount,Unit Price
NG,Rivers,Mobile Safari,-5,Apple,M,TRUE,A,Unknown,order,checkout,completed,iOS,13,Bank Transfer or Bank Deposit,customer,-5,420000,20,20,0,406400,19750
Unknown,Unknown,Firefox,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,8,Bank Transfer or Bank Deposit,customer,-5,34100,1,1,0,402200,16500
NG,Katsina,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,119000,7,7,0,400000,14500
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,8,Bank Transfer or Bank Deposit,customer,-5,379000,40,40,0,390000,7100
NG,Ogun,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,80500,4,3,0,390000,13750
NG,Lagos,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,29050,3,3,0,389900,3400
NG,Ogun,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,14200,10,10,2200,388000,1200
NG,Delta,UC Browser,-5,Tecno,M,TRUE,A,Unknown,order,checkout,completed,Android,8,Pay with a Debit/Credit Card or Online with Bank,customer,-5,175500,9,9,0,381500,18500
Unknown,Unknown,Firefox,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,7,Bank Transfer or Bank Deposit,customer,-5,1000,32,1,0,379000,51500
NG,Lagos,Chrome Mobile,-5,Infinix,M,FALSE,A,Unknown,order,checkout,completed,Android,7,Bank Transfer or Bank Deposit,customer,-5,23000,1,1,0,367500,21500
NG,Cross River,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,30500,11,11,0,357300,2500
NG,Kwara,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,207500,10,10,7500,355000,20000
NG,Delta,Chrome Mobile,-5,Infinix,M,TRUE,A,Unknown,order,checkout,completed,Android,10,Bank Transfer or Bank Deposit,customer,-5,210000,10,10,0,353000,20000
NG,Imo,Chrome Mobile,-5,Infinix,M,TRUE,A,Unknown,order,checkout,completed,Android,7,Bank Transfer or Bank Deposit,customer,-5,22760,1,1,0,341250,21500
NG,Delta,Chrome,-5,Unknown,D,TRUE,P,HB,order,checkout,completed,Windows,8,Bank Transfer or Bank Deposit,customer,-5,45000,2,2,0,339000,21500
NG,Federal Capital Territory,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,3900,1,1,0,336000,3000
NG,Lagos,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,42500,2,2,0,332500,19750
NG,Enugu,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,17000,10,10,0,331400,1700
Unknown,Unknown,Chrome,-31,Generic_Android_Tablet,T,TRUE,A,Unknown,order,checkout,completed,Android,8,Bank Transfer or Bank Deposit,customer,-5,18250,1,1,0,325400,17250
Unknown,Unknown,Mobile Safari,-13,Apple,M,TRUE,A,Unknown,order,checkout,completed,iOS,13,Pay with a Debit/Credit Card or Online with Bank,customer,-5,29108,3,1,0,325000,2400
Unknown,Unknown,Chrome Mobile,-31,Generic_Android,M,TRUE,A,Unknown,order,checkout,completed,Android,9,Pay with a Debit/Credit Card or Online with Bank,customer,-5,500,3,3,0,315600,20750
NG,Ogun,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,21500,1,1,0,300000,20500
Unknown,Unknown,Chrome Mobile,-13,Infinix,M,TRUE,A,Unknown,order,checkout,cancelled,Android,9,Bank Transfer or Bank Deposit,customer,-5,233000,1,1,0,296650,79500
Unknown,Unknown,Unknown,-13,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,7300,2,2,0,281400,2750
Unknown,Unknown,Chrome Mobile,-13,Nokia,M,TRUE,A,Unknown,order,checkout,completed,Android,9,Bank Transfer or Bank Deposit,customer,-5,14795,1,1,0,276500,21500
NG,Anambra,Chrome Mobile,-5,Samsung,M,TRUE,A,Unknown,order,checkout,completed,Android,11,Bank Transfer or Bank Deposit,customer,-5,227500,10,10,0,273300,21500
NG,Enugu,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,26200,3,1,0,270000,10000
Unknown,Unknown,Google,-13,Apple,M,TRUE,P,SB,order,checkout,completed,iOS,14,Bank Transfer or Bank Deposit,customer,-5,1000,30,30,0,267800,19000
