Order Status (Dummy) ,Segment (Dummy),Total Amount,Unit Price
2,2,13750,20500
2,2,13500,1500
2,2,13500,500
2,2,13500,500
1,2,13500,20500
1,2,13400,60000
1,2,13350,15750
1,2,13300,14750
1,2,13250,15750
1,2,13250,19000
1,2,13000,19750
1,2,13000,200000
1,2,13000,37500
1,2,13000,8000
1,2,13000,2650
1,2,13000,6000
1,2,12950,20500
1,2,12900,14500
1,2,12800,13500
1,2,12750,9500
1,2,12750,14000
1,2,12750,57000
1,2,12750,10500
1,2,12650,68000
1,2,12500,12000
1,2,12250,17500
1,2,12100,40000
1,2,12000,14000
1,2,12000,19000
1,2,11500,19500
1,2,11400,14000
1,2,11300,18500
1,2,11300,15000
1,2,11300,15500
1,2,11100,18750
1,2,10800,230000
1,2,10600,33500
1,2,10600,15250
1,2,10500,15750
1,2,10500,16000
1,2,10000,17500
1,2,10000,18000
1,2,10000,18250
1,2,9700,18250
1,2,9675,23500
1,2,9600,18500
1,2,9390,20500
1,2,9200,37500
1,2,9000,18000
1,2,9000,6400
1,2,9000,14500
1,2,8700,21000
1,2,8500,12000
1,2,8200,15000
1,2,8200,3000
1,2,8000,13500
1,2,8000,15000
1,2,8000,21750
1,2,8000,7500
1,2,8000,14750
1,2,7940,23000
1,2,7800,19000
1,2,7500,19000
1,2,7500,14000
1,2,7500,16500
1,2,7400,33500
1,2,7400,14750
1,2,7300,19500
1,2,7000,13500
1,2,6900,20500
1,2,6900,14000
1,2,6820,15500
1,2,6500,15500
1,2,6280,18000
1,2,6000,16000
1,2,6000,15750
1,2,5775,15750
1,2,5000,16500
1,2,4900,18000
1,2,4750,14500
1,2,4500,16500
1,2,4500,15750
1,2,4500,3000
1,2,4500,2700
1,2,4500,2700
1,2,4500,20500
1,2,4500,10000
1,2,4500,18500
1,2,4400,14750
1,2,4350,18500
1,2,4300,37500
1,2,4250,13500
1,2,4250,1200
1,2,4100,16500
1,2,4000,19000
1,2,4000,19000
1,2,4000,17500
1,2,3950,7900
1,2,3900,18250
1,2,3900,20250
1,2,3900,15750
1,2,3900,1500
1,2,3500,13500
1,2,3500,18000
1,2,3500,13750
1,2,3500,20500
1,2,3500,15000
1,2,3500,25000
1,2,3500,15000
1,2,3500,18250
1,2,3500,19500
1,2,3500,15000
1,2,3500,4350
1,2,3500,16750
1,2,3500,19000
1,2,3500,18500
1,2,3500,14500
1,2,3500,7200
1,2,3000,10000
1,2,3000,7000
1,2,3000,500
1,2,2800,17750
1,2,2500,500
1,2,2500,1620
1,2,2500,1620
1,2,2500,1550
4,2,2500,12250
3,2,2500,3250
3,2,2400,41250
3,2,2400,18500
3,2,2400,14250
3,2,2400,10000
4,2,2400,18250
4,2,2400,37500
2,3,2400,14500
1,2,2100,17800
1,2,2000,1200
1,2,2000,2400
1,2,1300,10000
1,2,1200,19500
1,3,1200,13750
3,2,1200,12750
3,2,1200,12750
2,2,1000,650
2,2,0,25000
2,2,0,14000
2,2,0,16750
1,2,0,15000
1,3,0,24450
1,3,0,1200
1,3,0,2750
