Billing Country (Dummy),Billing State (Dummy),Browser (Dummy),Created By (Dummy),Device Brand (Dummy),Device Type (Dummy),Email Status (Dummy),Event Type (Dummy),Order Source (Dummy),Order Status (Dummy) ,Os (Dummy),Os Version (Dummy),Payment Method (Dummy),Segment (Dummy),Updated By (Dummy),Discounted Price,Item Count,Quantity,Shipping,Total Amount,Unit Price
1,1,3,3,4,2,2,2,2,1,2,2,2,2,1,15250,1,1,0,39500,14000
1,1,3,3,2,2,2,2,2,1,2,2,2,3,1,17500,1,1,0,39500,16000
1,1,3,3,4,2,2,2,2,1,2,4,2,1,1,16700,1,1,0,39500,15000
1,1,3,3,4,2,2,2,2,1,2,4,2,1,1,22750,2,1,0,39400,5500
1,1,3,3,4,2,2,2,2,1,2,4,2,1,1,38400,6,1,8000,39200,22500
1,1,3,3,4,2,2,2,2,1,2,4,2,1,1,500,5,5,0,39000,18500
1,1,3,3,3,2,2,2,2,1,2,3,2,2,1,4000,1,1,0,39000,3000
1,1,3,3,2,2,2,2,2,1,2,3,2,2,1,202000,10,10,0,39000,19000
1,1,3,3,4,2,2,2,2,1,2,4,2,2,1,2500,1,1,0,38900,2500
1,1,3,3,4,2,2,2,2,1,2,4,2,2,1,22000,30,30,0,38900,640
1,1,3,3,4,2,2,2,2,1,2,4,2,2,1,113000,3000,3000,0,38800,32
1,1,3,3,4,2,2,2,2,3,2,2,2,2,1,8000,2,2,0,38800,3000
2,4,3,3,4,2,2,2,2,4,2,4,2,2,1,43000,2,2,0,38700,20500
2,4,4,3,4,2,2,2,2,1,2,4,2,2,1,103000,2,2,0,38700,51500
2,4,3,3,3,2,2,2,2,1,2,4,2,2,1,15250,1,1,0,38700,14500
2,4,3,3,3,2,2,2,2,1,2,4,2,2,1,276500,14,14,10500,38600,19000
1,1,2,3,4,4,2,2,2,2,2,4,2,2,1,18750,2,1,0,38500,13750
1,1,3,3,2,2,2,2,2,1,2,2,3,1,1,4250,1,1,0,38500,2750
1,1,2,3,1,3,2,2,2,1,3,2,3,1,1,3500,1,1,0,38500,3500
1,1,2,3,1,3,2,2,2,1,3,2,3,2,1,14400,1,1,0,38500,13500
1,1,2,3,1,3,2,2,2,1,3,2,3,2,1,15400,1,1,0,38500,14500
1,1,2,3,1,3,2,2,2,1,3,4,3,2,1,21150,1,1,0,38500,20250
1,1,4,3,1,3,2,2,2,1,3,3,3,2,1,57000,3,1,0,38500,12000
1,1,4,3,1,3,2,2,2,1,3,3,3,2,1,8000,2,2,0,38400,3000
2,4,2,3,1,3,2,2,2,1,3,4,3,2,1,14500,1,1,0,38400,13750
1,1,3,3,2,2,2,2,2,1,2,2,3,1,1,14250,1,1,0,38400,11750
1,1,3,3,4,2,2,2,2,1,2,4,3,2,1,20250,1,1,0,38250,19000
1,1,3,3,4,2,2,2,2,1,2,4,3,2,1,68000,4,4,0,38250,15500
1,1,3,3,4,2,2,2,2,1,2,4,3,2,1,71360,4,4,0,38200,18000
1,1,3,3,2,2,2,2,2,3,2,2,3,1,1,14750,1,1,0,38050,12750
2,4,3,3,3,2,2,2,2,1,2,4,3,2,1,31200,2,2,0,38000,15000
1,1,4,3,4,4,2,2,2,1,4,4,3,2,1,2400,1,1,0,38000,2400
1,1,4,3,4,4,2,2,2,1,4,2,3,1,1,44000,2,2,0,38000,21000
1,1,4,3,4,4,2,2,2,1,4,2,3,1,1,180000,8,8,0,37900,21500
1,1,2,1,1,3,2,2,2,1,3,2,1,1,1,0,4,4,0,37700,18500
1,1,2,1,1,3,2,2,2,1,3,2,1,2,1,0,1,1,0,37550,2400
1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,15000,1,1,0,37500,13500
1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,16800,5,5,0,37500,1300
1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,5000,1,1,0,37500,5000
1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,4000,1,1,0,37500,12000
1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,17500,1,1,0,37500,16500
1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,45700,3,1,0,37320,14000
1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,33900,2,2,0,37250,16250
1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,51300,2,2,0,37100,22500
1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,26000,2,2,2000,37000,12000
1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,9000,2,2,0,37000,3000
1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,196250,10,5,0,36900,15500
1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,36150,15,5,0,36900,3750
1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,151800,6,6,0,36800,24000
1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,177500,10,10,20000,36800,15750
1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,204600,40,10,0,36500,6500
1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,622465,40,40,0,36500,15750
1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1098000,600,600,0,36480,1550
1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,87500,1500,1500,0,36300,37
1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,18200,1,1,0,36250,16000
1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,17750,1,1,0,36150,16500
1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,20500,1,1,0,35900,19000
1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,20500,1,1,0,35750,19250
1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,381500,1,1,0,35750,360000
1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,331400,14,1,20400,35500,35000
1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,43000,2,2,0,35500,20250
1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,31400,2,2,0,35500,14500
1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,46000,4,2,0,35500,17500
1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,215550,9,9,0,35500,22750
1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,234000,15,15,0,35500,13500
1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,390000,24,24,0,35400,15250
1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,480000,30,30,0,35400,14500
1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,3442000,40,40,0,35100,80000
1,1,1,1,1,1,2,2,2,4,1,1,2,2,1,105000,5,1,0,35000,18500
2,4,1,1,1,1,2,2,2,2,1,1,2,2,1,355000,20,20,0,35000,16750
2,4,1,1,1,1,2,2,2,1,1,1,2,2,1,17250,1,1,0,35000,15750
2,4,1,1,1,1,2,2,2,1,1,1,2,2,1,38500,2,2,0,35000,17750
2,4,1,1,1,1,2,2,2,1,1,1,2,2,1,429750,21,2,0,35000,12000
2,4,1,1,1,1,2,2,2,1,1,1,2,2,1,341250,21,21,0,35000,15250
2,4,1,1,1,1,2,2,2,1,1,1,2,2,1,1381500,150,150,0,34750,9100
2,4,1,1,1,1,2,2,2,3,1,1,2,2,1,17250,1,1,0,34550,15750
1,1,4,1,1,3,2,2,2,2,4,1,2,1,1,4400,1,1,0,34500,21000
1,1,2,1,1,3,2,2,2,2,3,2,2,1,1,19250,1,1,0,34500,18250
1,1,2,1,1,3,2,2,2,2,3,2,2,1,1,19250,1,1,0,34500,18250
1,1,2,1,1,3,2,2,2,2,3,2,2,1,1,265800,1,1,0,34500,245000
1,1,2,1,1,3,2,2,2,2,3,2,2,1,1,4500,1,1,0,34500,3000
1,1,2,1,1,3,2,2,2,2,3,2,2,1,1,65400,4,2,0,34100,14000
1,1,2,1,1,3,2,2,2,2,3,2,2,1,1,500,3,3,0,34000,17250
1,1,2,1,1,3,2,2,2,2,3,2,2,2,1,32900,5,5,0,34000,4900
1,1,2,1,1,3,2,2,2,2,3,4,2,1,1,37320,10,10,0,34000,3192
1,1,2,1,1,3,2,2,2,2,3,4,2,2,1,48000,3,3,0,34000,14000
1,1,2,1,1,3,2,2,2,2,3,3,2,1,1,17500,1,1,0,34000,16500
1,1,2,1,1,3,2,2,2,2,3,3,2,1,1,15200,1,1,0,33900,11500
1,1,2,1,1,3,2,2,2,2,3,3,2,1,1,114000,3,1,0,33550,36000
1,1,2,1,1,3,2,2,2,2,3,3,2,1,1,227000,100,100,0,33500,1550
1,1,2,1,1,3,2,2,2,2,3,3,2,2,1,38700,2,2,0,33500,18250
1,1,2,1,1,3,2,2,2,1,4,1,2,1,1,1000,20,20,24000,33500,18250
1,1,4,1,1,3,2,2,2,1,4,1,2,1,1,69000,1,1,0,33350,63000
1,1,2,1,4,3,2,2,2,1,4,2,2,1,1,1000,91,6,0,33250,7250
1,1,2,1,4,3,2,2,2,1,4,2,2,1,1,12000,10,10,0,33180,1200
1,1,2,1,4,3,2,2,2,1,4,2,2,2,1,440000,20,20,0,33000,20500
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,3500,1,1,0,33000,3500
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,6900,1,1,0,32900,4200
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,14500,1,1,0,32750,13500
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,17250,1,1,0,32500,15750
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,18500,1,1,0,32500,17500
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,20800,1,1,0,32500,18000
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,19250,1,1,0,32500,18250
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,19000,1,1,0,32400,18500
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,110300,1,1,0,32350,100000
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,500,1,1,0,32300,37500
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,1000,1,1,0,32200,500
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,208000,1,1,0,32000,200000
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,7940,1,1,0,32000,14500
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,15500,1,1,0,32000,14000
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,38500,1,1,0,32000,37500
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,3950,1,1,0,32000,2750
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,25500,2,1,0,31800,9000
